BOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comments,,,,,,,,,,
Level,Attachments (Image),Manufacturer (Image),Pending Changes (Image),Has Been Redlined (Image),Has Quality(Image),Bubble Number,Item Number,Item Description,Item Rev,Qty,UOM,Item Lifecycle Phase,BOM Notes,Ref Des,Component Effective From,Component Discontinue Date,Alternate Part(s),Alternate FG Part(s),Alternate Document(s),Subclass,Sites,Planned?,Scrap Factor,OP #,Thumbnail,Attachments(Image),Manufacture Part Has Redline,Mfr. Name,Mfr. Part Number,Legacy Part #,Mfr. Part Description,,Mfr. Part Lifecycle Phase,Preferred Status,Sites,Reference Notes,RoHS Compliant?,RoHS Compliance Statement,page number on schematic,part added to library?,Link to part,Link to datasheet
1,true,true,false,false,false,0,10021463,"CAPACITOR,47UF,16V,1210,X5R",C        ECO-R252636,2,Each,Production,,"C21,C23",,,,,,Part,BDRM,,1,,,true,false,KEMET_RMS1,C1210C476M4PACTU,,"CAPACITOR, CERAMIC, MULTILAYER, 16 V, X5R, 47 UF, SURFACE MOUNT, 1210",,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,https://www.digikey.ca/product-detail/en/C1210C476M4PACTU/399-5514-1-ND/1950692?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=cad&site=us&utm_source=octopart,https://api.kemet.com/component-edge/download/datasheet/C1210C476M4PACTU.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,TAIYO YUDEN_RMS1,EMK325BJ476MM-T,,"CAPACITOR, CERAMIC, MULTILAYER, 16 V, X5R, 47 UF, SURFACE MOUNT, 1210",,Active,Alternate,,,Yes,Legacy Inventory Status: Cleared,,,https://www.digikey.com/product-detail/en/taiyo-yuden/EMK325BJ476MM-T/587-1436-2-ND/1004024,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,YAGEO_RMS1,CC1210KKX5R7BB476,,"CAPACITOR, CERAMIC, MULTILAYER, 16 V, X5R, 47 UF, SURFACE MOUNT, 1210",,,,,,,,,,https://www.arrow.com/en/products/cc1210kkx5r7bb476/yageo,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X5R_4V-to-50V_25.pdf
1,true,true,false,false,false,0,10021468,"RESISTOR, 137 KOHM, +/-1%,0.063W,0402",B        ECO-R252636,1,Each,Production,,R26,,,,,,Part,BDRM,,1,,,true,false,VISHAY_RMS1,CRCW0402137KFKED,,"THICK FILM, RECTANGULAR CHIP RESISTORS",,Active,Preferred,,ROHS EXEMPTION: 7(C)-1,Yes - by exemption,Legacy Inventory Status: Cleared,,,https://www.digikey.ca/product-detail/en/CRCW0402137KFKED/541-137KLCT-ND/1183365?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=cad&site=us&utm_source=octopart,http://www.vishay.com/docs/20035/dcrcwe3.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,YAGEO_RMS1,RC0402FR-07137KL,,"RESISTOR, METAL GLAZE/THICK FILM, 0.0625 W, 1 %, 100 PPM, 137000 OHM, SURFACE MOUNT, 0402",,Active,Preferred,,ROHS EXEMPTION: 7(C)-1,Yes - by exemption,Legacy Inventory Status: Cleared,,,https://www.digikey.ca/product-detail/en/RC0402FR-07137KL/YAG2972CT-ND/5281837?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=cad&site=us&utm_source=octopart,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,YAGEO_RMS1,RC0402FR-07137KL,232270671374L,"RESISTOR, METAL GLAZE/THICK FILM, 0.0625 W, 1 %, 100 PPM, 137000 OHM, SURFACE MOUNT, 0402",,Active,Preferred,,BRAND: PHYCOMP. ROHS EXEMPTION: 7(C)-1,Yes - by exemption,Legacy Inventory Status: Cleared,,,,
1,true,true,false,false,false,0,10021556,"RESISTOR, 68 KOHM,+/-1%, 0.063W, 0402",B        ECO-R252636,1,Each,Production,,R27,,,,,,Part,BDRM,,1,,,true,false,YAGEO_RMS1,RC0402FR-0768KL,232270676803L,"RESISTOR, METAL GLAZE/THICK FILM, 0.0625 W, 1 %, 100 PPM, 68000 OHM, SURFACE MOUNT, 0402",,Active,Preferred,,BRAND: PHYCOMP. ROHS EXEMPTION: 7(C)-1,Yes - by exemption,Legacy Inventory Status: Cleared,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,VISHAY_RMS1,CRCW040268K0FKED,,"THICK FILM, RECTANGULAR CHIP RESISTORS",,Active,Preferred,,ROHS EXEMPTION: 7(C)-1,Yes - by exemption,Legacy Inventory Status: Cleared,,,https://www.digikey.ca/product-detail/en/CRCW040268K0FKED/541-68.0KLCT-ND/1183332?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=cad&site=us&utm_source=octopart,http://www.vishay.com/docs/20035/dcrcwe3.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,YAGEO_RMS1,RC0402FR-0768KL,,"RESISTOR, METAL GLAZE/THICK FILM, 0.0625 W, 1 %, 100 PPM, 68000 OHM, SURFACE MOUNT, 0402",,Active,Preferred,,ROHS EXEMPTION: 7(C)-1,RoHS3 Compliant with exemptions,RoHS3 Compliant with exemptions,,,https://www.digikey.ca/product-detail/en/RC0402FR-0768KL/311-68.0KLRCT-ND/729598?utm_campaign=buynow&WT.z_cid=ref_octopart_dkc_buynow&utm_medium=aggregator&curr=cad&site=us&utm_source=octopart,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf
1,true,true,false,false,false,0,10021557,"RESISTOR,0 OHM,0.063W,0402",B        ECO-R252636,2,Each,Production,,"R30,R31",,,,,,Part,BDRM,,1,,,true,false,YAGEO_RMS1,232270591001L,,"JUMPER, METAL GLAZE/THICK FILM, 0.0625 W, 0 OHM, SURFACE MOUNT, 0402",,Active,Preferred,,BRAND: PHYCOMP.ROHS EXEMPT: 7(C)-1,Yes - by exemption,Legacy Inventory Status: Cleared,,,,
