BOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Level,Attachments (Image),Manufacturer (Image),Pending Changes (Image),Has Been Redlined (Image),Has Quality(Image),Bubble Number,Item Number,Item Description,Item Rev,Qty,UOM,Item Lifecycle Phase,BOM Notes,Ref Des,Component Effective From,Component Discontinue Date,Alternate Part(s),Alternate FG Part(s),Alternate Document(s),Subclass,Sites,Planned?,Scrap Factor,OP #,Thumbnail,Attachments(Image),Manufacture Part Has Redline,Mfr. Name,Mfr. Part Number,Legacy Part #,Mfr. Part Description,comments,page number on schematic,part added to library?,Link to part,Link to datasheet,Mfr. Part Lifecycle Phase,Preferred Status,Sites,Reference Notes,RoHS Compliant?,RoHS Compliance Statement
,,,,,,,,,,,,,,"C2,C4,C5,C9,C10,C11,C20,C22,C23,C24,C25,C26,C27,C28,C29,C30,C33,C36,C37,C42,C44,C49,C51,C60,C63,C66,C70,C74,C76,C77,C78,C80,C83,C87,C90,C91,C93,C95,C98,C103,C107,C110,C116,C120,C140",,,,,,,,,,,,true,false,YAGEO_RMS1,CC0402KRX7R7BB104,,CAP CER 0.1uF 16V X7R 10% 0402,,,,https://canada.newark.com/yageo/cc0402krx7r7bb104/ceramic-capacitor-0-1uf-16v-x7r/dp/65R7670?CMP=AFC-SF-FC,,Active,Preferred,,,RoHS3 Compliant,Cleared
,,,,,,,,,,,,,,"C2,C4,C5,C9,C10,C11,C20,C22,C23,C24,C25,C26,C27,C28,C29,C30,C33,C36,C37,C42,C44,C49,C51,C60,C63,C66,C70,C74,C76,C77,C78,C80,C83,C87,C90,C91,C93,C95,C98,C103,C107,C110,C116,C120,C140",,,,,,,,,,,,true,false,YAGEO_RMS1,223878715649,223878715649,"CAPACITOR, CERAMIC, MULTILAYER, 16 V, X7R, 0.1 UF, SURFACE MOUNT, 0402",,,,,,Active,Preferred,,BRAND: PHYCOMP,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,"C2,C4,C5,C9,C10,C11,C20,C22,C23,C24,C25,C26,C27,C28,C29,C30,C33,C36,C37,C42,C44,C49,C51,C60,C63,C66,C70,C74,C76,C77,C78,C80,C83,C87,C90,C91,C93,C95,C98,C103,C107,C110,C116,C120,C140",,,,,,,,,,,,true,false,"MURATA MANUFACTURING CO., LTD.",GRM155R71C104KA88D,,MONOLITHIC CERAMIC CAPACITOR,,,,https://www.futureelectronics.com/p/2106316?utm_campaign=FindChips_NA_Inventory&utm_medium=buynow&utm_source=findchips&utm_content,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
1,true,true,false,false,false,0,10022963,"CAPACITOR ELECTROLYTIC, 100UF, 35V +/-20%",B        ECO-R252636,1,Each,Production,,C21,,,,,,Part,CBRM,,1,,,true,false,MULTICOMP                       (920630),MCRH35V107M8X11,,ELECTROLYTIC CAPACITOR,,,,https://uk.farnell.com/multicomp/mcrh35v107m8x11/cap-100-f-35v-20/dp/9451943?CMP=GRHB-SF-FC,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,C21,,,,,,,,,,,,true,false,LELON,RXW101M1VSA-0811s,,ALUMINIUM ELECTROLYTIC CAPACITOR,,,,https://www.avnet.com/shop/us/products/surge-components/rxw101m1vsa-0811s-3074457345626154622?CMP=EMA_FindChips_inventoryfeed_VSE,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
1,true,true,true,false,false,0,10022508,"CAPACITOR CERAMIC,10NF,+/-10%,50V,0603",C        ECO-R252633,6,Each,Production,,"C39,C43,C45,C50,C53,C97",,,,,,Part,CBRM,,1,,,true,false,YAGEO_RMS1,CC0603KRX7R9BB103,223858615636,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.01 UF, SURFACE MOUNT, 0603",,,,https://canada.newark.com/yageo/cc0603krx7r9bb103/ceramic-capacitor-0-01uf-50v-x7r/dp/65R8250?CMP=AFC-SF-FC,,Active,Preferred,,BRAND: PHYCOMP,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,"C39,C43,C45,C50,C53,C97",,,,,,,,,,,,true,false,YAGEO_RMS1,CC0603JRX7R9BB103,223858615536,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.01 UF, SURFACE MOUNT, 0603",,,,https://canada.newark.com/yageo/cc0603jrx7r9bb103/ceramic-capacitor-0-01uf-50v-x7r/dp/65R8119?CMP=AFC-SF-FC,,Active,Preferred,,BRAND: PHYCOMP,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,"C39,C43,C45,C50,C53,C97",,,,,,,,,,,,true,false,KEMET_RMS1,C0603C103K5RACTU,,CERAMIC CHIP CAPACITOR,,,,https://canada.newark.com/kemet/c0603c103k5ractu/multilayer-ceramic-capacitor-c/dp/36X2611?CMP=AFC-SF-FC,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
,,,,,,,,,,,,,,"C39,C43,C45,C50,C53,C97",,,,,,,,,,,,true,false,YAGEO_RMS1,CC0603KRX7R9BB103,,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.01 UF, SURFACE MOUNT, 0603",,,,https://canada.newark.com/yageo/cc0603krx7r9bb103/ceramic-capacitor-0-01uf-50v-x7r/dp/65R8250?CMP=AFC-SF-FC,,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared
1,true,true,true,false,false,0,10022135,"CAPACITOR CERAMIC, 100NF, +/-10%, 50V, X7R,0805",C        ECO-R252633,6,Each,Production,,"C46,C62,C69,C79,C82,C105",,,,,,Part,CBRM,,1,,,true,false,YAGEO_RMS1,CC0805KRX7R9BB104,223858055649,"CAPACITOR, CERAMIC, MULTILAYER, 50 V, X7R, 0.1 UF, SURFACE MOUNT, 0805",,6,Y,https://www.digikey.ca/product-detail/en/yageo/CC0805KRX7R9BB104/311-1140-2-ND/302874,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,Active,Preferred,,BRAND: PHYCOMP,Yes,Legacy Inventory Status: Cleared
