Level,Attachments (Image),Manufacturer (Image),Pending Changes (Image),Has Been Redlined (Image),Has Quality(Image),Bubble Number,Item Number,Item Description,Item Rev,Qty,UOM,Item Lifecycle Phase,BOM Notes,Ref Des,Component Effective From,Component Discontinue Date,Alternate Part(s),Alternate FG Part(s),Alternate Document(s),Subclass,Sites,Planned?,Scrap Factor,OP #,Thumbnail,Attachments(Image),Manufacture Part Has Redline,Mfr. Name,Mfr. Part Number,Legacy Part #,Mfr. Part Description,Mfr. Part Lifecycle Phase,Preferred Status,Sites,Reference Notes,RoHS Compliant?,RoHS Compliance Statement,comments,page number on schematic,part added to library?,Link to part,Link to datasheet
,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,VISHAY,BZG03C30-M3-18,,"DIODE, ZENER, 30VZ, 25MA IZ, 3W, SMA, 18"" REEL",Active,Alternate,,,Yes - by exemption,RoHS exemption 7(a),,,,https://www.mouser.ca/ProductDetail/Vishay-Semiconductors/BZG03C30-M3-18?utm_term=BZG03C30-M3-18&qs=j%252b1pi9TdxUYGbKk0C%2FJBWA==&utm_campaign=BZG03C30-M3-18&utm_medium=aggregator&utm_source=findchips&utm_content=Vishay,http://www.vishay.com/docs/86138/bzg03c-m-series.pdf
1,TRUE,TRUE,TRUE,FALSE,FALSE,0,10022515,"DIODE SCHOTTKY, 500MA,40V,SOD323",C        ECO-R252633,6,Each,Production,,"D2,D3,D4,D5,D6,D7",,,,,,Part,CBRM,,1,,,TRUE,FALSE,NXP SEMICONDUCTORS_RMS1,"PMEG4005AEA,115",,VERY LOW VF MEGA SCHOTTKY BARRIER RECTIFIERS,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/nexperia/pmeg4005aea-115/schottky-diode-500ma-40v-sod-323/dp/75R0881?CMP=AFC-SF-FC,https://assets.nexperia.com/documents/data-sheet/PMEG4005AEA.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,NXP SEMICONDUCTORS_RMS1,PMEG4005AEA,,VERY LOW VF MEGA SCHOTTKY BARRIER RECTIFIERS,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://www.questcomp.com/part/4/pmeg4005aea/311949941?utm_term=pmeg4005aea&utm_campaign=aktype0&utm_medium=industry-cpc&utm_source=findchips&utm_content=standardpricing,https://assets.nexperia.com/documents/data-sheet/PMEG4005AEA.pdf
1,TRUE,TRUE,TRUE,FALSE,FALSE,0,10022517,"DIODE ZENER, 15V, 500MW,SOD80",C        ECO-R252633,3,Each,Production,,"D11,D12,D13",,,,,,Part,CBRM,,1,,,TRUE,FALSE,NXP SEMICONDUCTORS_RMS1,BZV55-C15,,VOLTAGE REGULATOR DIODE,Active,Preferred,,"ROHS EXEMPTION :5  LEAD IN GLASS OF CATHODE RAY TUBES, ELECTRONIC COMPONENTS AND FLUORESC",Yes - by exemption,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/nexperia/bzv55-c15/zener-diode-500mw-15-6v-sod-80c/dp/96K7262?CMP=AFC-SF-FC,https://assets.nexperia.com/documents/data-sheet/BZV55_SER.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,NXP SEMICONDUCTORS_RMS1,"BZV55-C15,115",,VOLTAGE REGULATOR DIODE,Active,Preferred,,"ROHS EXEMPTION :5  LEAD IN GLASS OF CATHODE RAY TUBES, ELECTRONIC COMPONENTS AND FLUORESC",Yes - by exemption,Legacy Inventory Status: Cleared,,,,https://www.rocelec.com/part/NEXNXPBZV55-C15115?utm_medium=buyNow&utm_source=findChips,https://assets.nexperia.com/documents/data-sheet/BZV55_SER.pdf
1,TRUE,TRUE,TRUE,FALSE,FALSE,0,10022518,"DIODE SCHOTTKY, 200MA,30V,SOD23DIO",C        ECO-R252633,4,Each,Production,,"D14,D15,D16,D24",,,,,,Part,CBRM,,1,,,TRUE,FALSE,NXP SEMICONDUCTORS_RMS1,"BAT54S,215",,VOLTAGE REGULATOR DIODE,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://www.rocelec.com/part/NEXNXPBAT54S215?utm_medium=buyNow&utm_source=findChips,https://assets.nexperia.com/documents/data-sheet/BAT54_SER.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,NXP SEMICONDUCTORS_RMS1,BAT54S,,SCHOTTKY BARRIER (DOUBLE) DIODE,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://www.maritex.com.pl/product/show_qr/13224,https://assets.nexperia.com/documents/data-sheet/BAT54_SER.pdf
1,TRUE,TRUE,TRUE,FALSE,FALSE,0,10022519,"DIODE SCHOTTKY, 15A, 45V,TO-252",B        ECO-R252633,1,Each,Production,,D17,,,,,,Part,CBRM,,1,,,TRUE,FALSE,ST MICROELECTRONIC,STPS15L45CB-TR,,LOW DROP POWER SCHOTTKY RECTIFIER,Active,Preferred,,EXEMPTION - 7A,Yes - by exemption,Legacy Inventory Status: Cleared,,,,https://www.digikey.ca/product-detail/en/stmicroelectronics/STPS15L45CB-TR/497-6575-1-ND/1865321?utm_campaign=buynow&utm_medium=aggregator&WT.z_cid=ref_findchips_standard&utm_source=findchips,https://www.st.com/content/ccc/resource/technical/document/datasheet/b7/c8/02/28/2f/f6/47/20/CD00002833.pdf/files/CD00002833.pdf/jcr:content/translations/en.CD00002833.pdf
1,TRUE,TRUE,TRUE,FALSE,FALSE,0,10022531,FUSE 5A + SUPPORT CMS,B        ECO-R252633,1,Each,Production,,F1,,,,,,Part,CBRM,,1,,,TRUE,FALSE,LITTELFUSE_RMS1,0154005.DR,,SURFACE MOUNT FUSE,Active,Preferred,,"EX-EMPTION 7A, LEAD IN HIGH MELTING TEMPERATURE TYPE SOLDERS ? I.E., LEAD-BASED ALLOYS CONTAINING 85% BY WEIGHT OR MORE LEAD) AND:",Yes - by exemption,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/littelfuse/0154005-dr/fuse-smd-5a-very-fast-acting/dp/08AC3439?CMP=AFC-SF-FC,https://www.littelfuse.com/~/media/electronics/datasheets/fuses/littelfuse_fuse_154_154t_154l_154tl_datasheet.pdf.pdf
1,TRUE,TRUE,TRUE,FALSE,FALSE,0,10022533,"FILTER, 1K, 100MHZ, 0.8OHM, 50MA, 0603",B        ECO-R252633,7,Each,Production,,"FI3,FI4,FI5,FI6,FI7,FI8,FI9",,,,,,Part,CBRM,,1,,,TRUE,FALSE,WURTH ELEKTRONIK GMBH,74279266,,MULTILAYER-SMD-FERRITE,Active,Preferred,,,Yes,Legacy Inventory Status: Cleared,,,,https://canada.newark.com/wurth-elektronik/74279266/ferrite-bead-1k-0-2a-0603/dp/24AC5680?CMP=AFC-SF-FC,https://www.we-online.de/katalog/datasheet/74279266.pdf
