Item Number,Item Description,Ref Des,Mfr. Name,Mfr. Part Number,Mfr. Part Description
10022732,"RESISTOR,100 K OHM, 0.063W +/-5%","R7,R8,R9,R12,R20,R21,R24,R26,R48,R55,R56,R59,R60,R61,R65,R68",YAGEO_RMS1,232270260104L,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 5 %, 100 PPM, 100000 OHM, SURFACE MOUNT, 0603"
,,,YAGEO_RMS1,232270260104,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 5 %, 100 PPM, 100000 OHM, SURFACE MOUNT, 0603"
,,,YAGEO_RMS1,RC0603JR-07100KL,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 5 %, 100 PPM, 100000 OHM, SURFACE MOUNT, 0603"
,,,PANASONIC_RMS1,ERJ3GEYJ104V,THICK FILM CHIP RESISTOR
10022736,"RESISTOR,1M OHM,0.063W,+/-1%,0603",R4,YAGEO_RMS1,232270461005L,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 1 %, 100 PPM, 1000000 OHM, SURFACE MOUNT, 0603"
,,,YAGEO_RMS1,RC0603FR-071ML,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 1 %, 100 PPM, 1000000 OHM, SURFACE MOUNT, 0603"
,,,VISHAY_RMS1,CRCW06031M00FKEA,THICK FILM RECTANGULAR CHIP RESISTOR
,,,YAGEO_RMS1,232270461005,"RESISTOR, METAL GLAZE/THICK FILM, 0.1 W, 1 %, 100 PPM, 1000000 OHM, SURFACE MOUNT, 0603"
10022879,OCTAL BUS TRANSCEIVER,IC40,TEXAS INSTRUMENTS_RMS1,CD74HCT245M96,
,,,TEXAS INSTRUMENTS_RMS1,CD74HCT245M,CMOS LOGIC OCTAL-BUS TRANSCEIVER
10022884,"LITHIUM, 3V, 35MAH",G1,SONY_RMS1,CR1220-B1A,COIN CELL BATTERY
,,,MAXELL,CR1220,
,,,VARTA                           (917650),CR 1220,BATTERY
10022892,"REGULATOR 3.3 V 2% 500MA LOW DROPOUT,DPACK",IC26,ST MICROELECTRONIC,LF33CDT,VERY LOW DROP VOLTAGE REGULATOR
,,,STMICROELECTRONICS,LF33CDT-TR,VERY LOW DROP VOLTAGE REGULATOR
10022895,"REGULATOR, 5.5V TO 36V,3A",IC29,TEXAS INSTRUMENTS_RMS1,TPS 5430 DDA,"3A, WIDE INPUT RANGE, CONVERTER"
,,,TEXAS INSTRUMENTS_RMS1,TPS5430DDAR,
10022905,"IC,BUS SWITCH,SC70",IC44,FAIRCHILD SEMICONDUCTOR_RMS1,NC7SZ66P5X,BUS SWITCH
10022907,SMD FERRITE 200MA,"L1,L3,L4,L6,L9,L10,L12,L14,L15,L16,L17,L18,L21,L23,L24,L25,L26,L29,L31,L32,L33,L34,L35,L37,L42,L43,L44,L45,L46,L47,L48,L49,L50,L51,L52,L53",WURTH ELEKTRONIK GMBH,74279266,MULTILAYER-SMD-FERRITE
10022908,"INDUCTOR,33UH +/-10%",L2,WURTH ELEKTRONIK GMBH,74456133,POWER CHOKE
10022911,"SMD FERRITE, 1A,1206","L7,L8,L11,L19,L20,L22,L61",WURTH ELEKTRONIK GMBH,74279218,MULTILAYER-SMD-FERRITE
10022924,TEST POINT,"PT1,PT2",NICOMATIC_RMS1,C12000B,TEST POINT
,,,KEYSTONE ELECTRONICS CORP,5015,PC TEST POINT MINIATURE SMT
10022933,"RSPTRANSISTOR MOSFET, P CHANNEL, 30V,0.6A",T17,INTERNATIONAL RECTIFIER_RMS1,IRLML5103TRPBF,POWER MOSFET
10022956,"TRANSISTOR, MOSFET, N-CHANNEL, 60V, 0.5A.SOT23",T20,FAIRCHILD SEMICONDUCTOR_RMS1,MMBF170,MOSFET N-CH 60V 500MA SOT-23
,,,DIODES INC_RMS1,MMBF170-7-F,N-CHANNEL MOSFET
10022959,"CAPACITOR TANTALUM, 1UF,35V, +/-10%","C7,C8,C31,C32,C34",KEMET,T491A105M035AT,"Cap, Tantalum, Polarized, 35V, 20% +/-Tol, 1uF, Surface Mount, 1206 (Case A), EIA Metric 3216"
,,,KEMET,T495A105K035ATE3K0,"Cap, Tantalum, Polarized, 35V, 10% +/-Tol, 1uF, Surface Mount, 1206 (Case A), EIA Metric 3216"
10022960,"IC, 2 INPUT OR-GATE,SOT353","IC5,IC42,IC43",NXP SEMICONDUCTORS_RMS1,74HCT1G32GW,2 INPUT OR-GATE
,,,NXP SEMICONDUCTORS_RMS1,"74HCT1G32GW,125",
10022961,"IC, FLASH MEMORY,TSOP48",IC7,Macronix,MX29F400CBTI-70GTR,FLASH MEMORY 5V
,,,Macronix,MX29F400CBTI-70G,FLASH MEMORY 5V
,,,STMICROELECTRONICS,M29F400BB-70N6F,FLASH MEMORY
,,,SPANSION LLC,AM29F400BB-70EF,CMOS 5 VOLT BOOT SECTOR FLASH MEMORY
,,,STMICROELECTRONICS,M29F400BB-70N6E,FLASH MEMORY
,,,SPANSION LLC,AM29F400BB-70EK,CMOS 5V BOOT SECTOR FLASH MEMORY
10022962,"CAPACITOR TANALUM, 47UF, 10V +/-10%","C19,C75",KEMET,T495B476K010ATE500,"Cap, Tantalum, Polarized, 10V, 10% +/-Tol, 47uF, Surface Mount, Case B, EIA Metric 3528"
